Kenmerk,Ik,Zij/Hij
Lengte,Ik ben 1 meter 65.,Zij is klein. / Hij is groot.
Huidskleur,Ik heb een donkere huid.,Zij heeft een lichte huid. / Hij heeft een bruine huid.
Ogen,Ik heb bruine ogen.,Zij heeft blauwe ogen. / Hij heeft groene ogen.
Haar,Ik heb kort zwart haar.,Zij heeft halflang blond haar. / Hij heeft lang bruin haar.
Lichaamsbouw,Ik ben normaal gebouwd.,"Zij is slank, gespierd of mollig. / Hij is mager, dik of sportief gebouwd."
Baard/Snor,Ik heb een stoppelbaard.,Zij heeft een volle baard en een snor. / Hij heeft geen gezichtsbeharing.
Bril,Ik draag geen bril.,Zij draagt een bril. / Hij draagt lenzen.
Lippen,Ik heb smalle lippen.,Zij heeft volle lippen. / Hij heeft dunne lippen.
Gezicht,Mijn gezicht is ovaal.,Zij heeft een rond gezicht. / Hij heeft een lang gezicht.
Neus,Mijn neus is recht.,Zij heeft een kleine neus. / Hij heeft een kromme neus.
Rimpels,Ik heb rimpels op mijn voorhoofd.,Zij heeft geen rimpels. / Hij heeft rimpels rond zijn ogen.
Oorbellen,Ik draag geen oorbellen.,Zij draagt oorbellen. / Hij draagt grote oorringen.
Hoofddoek,Ik draag geen hoofddoek.,Zij draagt een hoofddoek. / Hij draagt geen hoofdbedekking.
Pet,Ik draag geen pet.,Zij draagt een pet. / Hij draagt een muts.
Tatoeages,Ik heb geen tatoeages.,Zij heeft veel tatoeages. / Hij heeft een kleine tatoeage op zijn arm.
Neuspiercing,Ik heb geen neuspiercing.,Zij heeft een neuspiercing. / Hij heeft een ringetje in zijn neus.
Vlekken,Ik heb geen vlekken op mijn gezicht.,Zij heeft sproeten op haar wangen. / Hij heeft vlekken op zijn voorhoofd.
Moedervlek,Ik heb een moedervlek op mijn wang.,Zij heeft een moedervlek bij haar oog. / Hij heeft meerdere moedervlekken op zijn gezicht.
